id;Code Commune;Nom Commune;Code EPCI;Nom EPCI;Code Departement;Nom Departement;Code Region;Nom Region;Geo Shape;Geo Point;X;Y
168;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.662500793860118, 48.08805831658718]}";48.08805831658718, -1.6625007938601184;353052,1035;6786655,296
169;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.710689028790688, 48.12135430574323]}";48.12135430574323, -1.7106890287906882;349691,1456;6790561,71
170;35031;La Bouexiere;243500774;CC Liffre-Cormier Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.452077365011812, 48.13923210902969]}";48.13923210902969, -1.4520773650118122;369013,7019;6791429,494
171;35024;Betton;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.638774518076227, 48.16280940539605]}";48.16280940539605, -1.6387745180762265;355303,3336;6794844,16
172;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.647896239500593, 48.12821676168416]}";48.12821676168416, -1.6478962395005934;354400,1445;6791046,302
173;35001;Acigne;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.517075958913674, 48.1677338152312]}";48.1677338152312, -1.517075958913674;364367,7637;6794866,243
174;35152;Liffre;243500774;CC Liffre-Cormier Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.501275724234671, 48.21561208317825]}";48.21561208317825, -1.5012757242346713;365843,6554;6800111,567
175;35139;Laille;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.718824141850356, 47.984764811641114]}";47.984764811641114, -1.7188241418503563;348180,3597;6775446,292
176;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.7122396071378, 48.124604330840434]}";48.124604330840434, -1.7122396071377999;349597,5155;6790929,125
177;35139;Laille;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.699118532904446, 47.96989077902242]}";47.96989077902242, -1.6991185329044456;349549,5031;6773708,792
178;35066;Chartres-de-Bretagne;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.706288301726853, 48.042617643105004]}";48.042617643105004, -1.706288301726853;349496,8203;6781807,884
179;35152;Liffre;243500774;CC Liffre-Cormier Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.512706892366739, 48.209318231325426]}";48.209318231325426, -1.5127068923667386;364956,0212;6799461,66
180;35152;Liffre;243500774;CC Liffre-Cormier Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.514799020964006, 48.21097721873702]}";48.21097721873702, -1.5147990209640059;364811,3975;6799654,614
181;35139;Laille;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.702203009549805, 47.97830270391168]}";47.97830270391168, -1.7022030095498046;349375,3716;6774655,565
182;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.726153107813382, 48.10466725408938]}";48.10466725408938, -1.7261531078133816;348431,6081;6788779,311
183;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.701509693376648, 48.12065326840167]}";48.12065326840167, -1.7015096933766483;350368,3203;6790443,257
184;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.703627960980397, 48.11944942690466]}";48.11944942690466, -1.703627960980397;350203,0154;6790319,092
185;35120;Geveze;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.788083954742613, 48.21850083028665]}";48.21850083028665, -1.788083954742613;344596,9572;6801684,376
186;35037;Breal-sous-Montfort;243500618;CC Broceliande Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.847450581513589, 48.04489222339687]}";48.04489222339687, -1.8474505815135887;339012,2134;6782696,156
187;35037;Breal-sous-Montfort;243500618;CC Broceliande Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.904732622661233, 48.055338816034435]}";48.055338816034435, -1.9047326226612327;334823,9589;6784118,22
188;35123;Goven;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.87015606120107, 48.00901772028158]}";48.00901772028158, -1.8701560612010701;337077,7645;6778821,26
